investor,year,weighted_score
ROBSHAW & JULIAN ASSOCIATES INC,2015,32.311161201169334
WILSEY ASSET MANAGEMENT INC,2017,32.22610190877309
UNITED BANK /VA/,2013,32.20633721915455
"WestEnd Advisors, LLC",2015,32.206198167979
"Haverford Financial Services, Inc.",2015,32.156753530993605
HORAN CAPITAL MANAGEMENT,2017,32.131597930561306
Davy Asset Management Ltd,2015,32.082103354291164
Lindsell Train Ltd,2015,32.03972517629366
HOERTKORN RICHARD CHARLES,2015,32.02744716601597
DILLON & ASSOCIATES INC,2013,32.0131009108163
Gabalex Capital Management LLC,2015,31.926252851841785
Magellan Asset Management Ltd,2017,31.908129618291593
EXCALIBUR MANAGEMENT CORP,2015,31.90515369623275
BALESTRA CAPITAL LTD.,2013,31.903908140364152
STEWART & PATTEN CO LLC,2015,31.896969924341384
BUSH ODONNELL INVESTMENT ADVISORS INC,2017,31.865424510512856
"Adams Asset Advisors, LLC",2017,31.858269801046116
EXCALIBUR MANAGEMENT CORP,2017,31.799142068829077
"Capital Wealth Planning, LLC",2013,31.728766960317827
BRANDYWINE TRUST CO,2017,31.71231428294962
"Two Creeks Capital Management, LP",2017,31.695112352076663
ROBSHAW & JULIAN ASSOCIATES INC,2013,31.652227177504358
"Axel Capital Management, LLC",2013,31.644140125264084
WELLCOME TRUST LTD (THE) as trustee of the WELLCOME TRUST,2017,31.608258213964525
TYBOURNE CAPITAL MANAGEMENT HK LTD,2013,31.600688881153943
CAM Group Holding A/S,2015,31.600205601073853
"Birchview Capital, LP",2017,31.564488316549248
NOROIAN STEVEN A & ASSOCIATES INC/CA,2013,31.56288230678673
MARATHON CAPITAL MANAGEMENT,2015,31.55892936818235
RIT CAPITAL PARTNERS PLC,2015,31.508945547148613
"Hillman Capital Management, Inc.",2013,31.491234863276212
COMPASS CAPITAL MANAGEMENT INC/,2017,31.473671143285532
UNITED BANK /VA/,2017,31.45901795261135
MARSHALL & SULLIVAN INC /WA/,2015,31.457829187999796
Edge Wealth Management LLC,2013,31.45116001263321
"Westchester Capital Management, Inc.",2017,31.44908742364187
CACTI ASSET MANAGEMENT LLC,2015,31.440948645158574
GVO Asset Management Ltd,2017,31.422556436300255
"FOUNDERS CAPITAL MANAGEMENT, LLC",2017,31.36713345593437
"440 INVESTMENT GROUP, LLC",2017,31.357984233381575
"Adams Asset Advisors, LLC",2013,31.33960342203043
PETROLEUM & RESOURCES CORP,2013,31.291147300687758
MCDANIEL TERRY & CO,2015,31.284158067862712
"Haverford Financial Services, Inc.",2013,31.278668502921565
Focused Investors LLC,2017,31.234694335246875
RAIFF PARTNERS INC,2015,31.21885685048039
"Alpine Investment Management, LLC",2013,31.16545478773176
ROBSHAW & JULIAN ASSOCIATES INC,2017,31.123997724120446
"FOUNDERS CAPITAL MANAGEMENT, LLC",2015,31.12340699581725
"TEGEAN CAPITAL MANAGEMENT, LLC",2013,31.11204929184904
"Cornerstone Investment Partners, LLC",2017,31.093484574194328
Cryder Capital Partners LLP,2015,31.063610904664205
"Westchester Capital Management, Inc.",2015,31.04986212580911
Holowesko Partners Ltd.,2017,31.04587351935418
CORTLAND ASSOCIATES INC/MO,2015,30.997401872803422
PRIVATE ASSET MANAGEMENT INC,2017,30.926370337970063
"D.C. Capital Advisors, Ltd",2015,30.914583055899946
"Grantham, Mayo, Van Otterloo & Co. LLC",2013,30.88936503857408
Cumberland Partners Ltd,2013,30.86557545158683
"First Fiduciary Investment Counsel, Inc.",2017,30.843173769824347
"First Fiduciary Investment Counsel, Inc.",2015,30.8400745480204
MOUNT VERNON ASSOCIATES INC /MD/,2013,30.829898477249735
united american securities inc. (d/b/a uas asset management),2017,30.829708544522987
"WestEnd Advisors, LLC",2017,30.748342373861686
WOODLEY FARRA MANION PORTFOLIO MANAGEMENT INC,2013,30.73208269840438
DILLON & ASSOCIATES INC,2015,30.618019935584805
"CSU Producer Resources, Inc.",2017,30.593864496580515
Benin Management CORP,2013,30.570750040460798
COMPASS CAPITAL MANAGEMENT INC/,2015,30.53895124985644
Family Management Corp,2017,30.536754640741492
Barbara Oil Co.,2017,30.534809455330716
