,investor,year,weighted_score
10356,MENORA MIVTACHIM HOLDINGS LTD.,2013,26.056067434902367
16845,VALLEY FORGE ASSET MANAGEMENT CORP /PA/,2013,25.958773385925316
6924,GRAND JEAN CAPITAL MANAGEMENT INC,2013,25.950170209798884
2320,Bedell Investment Counselling,2013,25.950118730114063
10286,MCDANIEL TERRY & CO,2013,25.945533884837065
2403,"Biondo Investment Advisors, LLC",2013,25.828308756178117
15293,Shelter Ins Retirement Plan,2013,25.797175153662156
3270,CINCINNATI INSURANCE CO,2013,25.647834235939794
14882,STRALEM & CO INC,2013,25.633812944921896
16214,"TRIAN FUND MANAGEMENT, L.P.",2013,25.560815569025902
4146,"Cheviot Value Management, LLC",2013,25.55835170984879
2804,CACTI ASSET MANAGEMENT LLC,2013,25.50739421801177
9982,"Lyons Wealth Management, LLC.",2013,25.429872479443492
10261,MATRIX ASSET ADVISORS INC/NY,2013,25.418232108575452
6457,"First Trust Bank, Ltd.",2013,25.385641472738456
1674,BENDER ROBERT & ASSOCIATES,2013,25.370784780472707
3485,COMPTON CAPITAL MANAGEMENT INC /RI,2013,25.36662396036804
4395,Consulta Ltd,2013,25.33219032593439
15107,Saratoga Research & Investment Management,2013,25.28551973920018
5282,EDGAR LOMAX CO/VA,2013,25.278640156607945
7012,GREYLIN INVESTMENT MANGEMENT INC,2013,25.267110614015685
3253,CINCINNATI CASUALTY CO,2013,25.156876347648694
10011,"MACGUIRE, CHESWICK & TUTTLE INVESTMENT COUNSEL LLC",2013,25.113191617808965
1532,BAR HARBOR TRUST SERVICES,2013,25.077269044569068
3395,COHEN LAWRENCE B,2013,25.013003822231063
2410,Birch Hill Investment Advisors LLC,2013,24.996999826397712
9143,Kames Capital plc,2013,24.990062181454057
5489,Eagle Ridge Investment Management,2013,24.96221613588
16834,VALICENTI ADVISORY SERVICES INC,2013,24.828297703768566
17451,WILKINSON OGRADY & CO INC /NY,2013,24.818662589769122
8107,"Hikari Tsushin, Inc.",2013,24.816670778654373
15436,Solus Alternative Asset Management LP,2013,24.781961234928414
4186,Cincinnati Specialty Underwriters Insurance CO,2013,24.76709747865847
5055,"Dalal Street, LLC",2013,24.743529378858415
17719,"Westchester Capital Management, Inc.",2013,24.702334404292767
15072,"Sanders Capital, LLC",2013,24.68400387446136
3988,"Carlton Hofferkamp & Jenks Wealth Management, LLC",2013,24.682013632943907
14961,SUSQUEHANNA TRUST & INVESTMENT CO,2013,24.68167250807962
959,"Altavista Wealth Management, Inc.",2013,24.672335889754127
1759,"BKD Wealth Advisors, LLC",2013,24.649698308083302
3264,CINCINNATI INDEMNITY CO,2013,24.624521898489235
16543,Town & Country Bank & Trust CO dba First Bankers Trust CO,2013,24.61748719237214
17307,WENDELL DAVID ASSOCIATES INC,2013,24.616851637772058
15215,"Seminole Management Co., Inc.",2013,24.50531606736474
8300,ICC CAPITAL MANAGEMENT INC/,2013,24.46593588799425
4083,"Centre Asset Management, LLC",2013,24.415307244991492
6485,Five Oceans Asset Management LTD,2013,24.413133612217294
11749,OAKMONT CORP,2013,24.41255877239819
6201,FRONTIER INVESTMENT MGMT CO,2013,24.39168376429147
1580,BAXTER BROS INC,2013,24.37830492065706
17165,WAFRA INVESTMENT ADVISORY GROUP INC /NY,2013,24.285901947180527
15047,"Salzman & Co., Inc.",2013,24.268658363656808
13607,ROCKLAND TRUST CO,2013,24.26399212205834
11971,Oldfield Partners LLP,2013,24.207201971919623
15868,TBP ADVISORS LTD,2013,23.99586232862991
12401,PIONEER TRUST BANK N A/OR,2013,23.984419418424725
4525,Covington Investment Advisors Inc.,2013,23.92983500644425
15290,Shelter Ins Profit Sharing,2013,23.91898122568884
14679,SPF BEHEER BV,2013,23.878289762373882
9003,KEATING INVESTMENT COUNSELORS INC,2013,23.866903339917133
2696,Broderick Brian C,2013,23.824725735413598
13749,"Ramsay, Stattman, Vela & Price, Inc.",2013,23.772780560886808
14926,SUMMIT CAPITAL MANAGEMENT LLC,2013,23.763981941515194
7713,HL FINANCIAL SERVICES LLC,2013,23.741380353584127
12296,PENN DAVIS MCFARLAND INC,2013,23.732163782470426
2810,CADENCE BANK NA,2013,23.685432683746537
3227,CI INVESTMENTS INC.,2013,23.59747450205728
16498,Timber Creek Capital Management LLC,2013,23.47948131538311
7439,Gyrus Investment Management Inc.,2013,23.45047366866051
12527,PRIVATE TRUST CO NA,2013,23.437441747917227
0,"10-15 ASSOCIATES, INC.",2013,23.42879027965875
17332,WEST COAST ASSET MANAGEMENT INC,2013,23.41473623464964
10278,MAYO INVESTMENT ADVISERS LLC,2013,23.407092687207893
11801,OLD POINT TRUST & FINANCIAL SERVICES N A,2013,23.368616887311084
14148,SAYBROOK CAPITAL /NC,2013,23.363711102436433
11116,NATIONAL INDEPENDENT TRUST CO,2013,23.330581502138966
3922,"Capital Investment Counsel, Inc",2013,23.324289294870763
3871,Canal Insurance CO,2013,23.32131258503777
9302,"Kovitz Investment Group, LLC",2013,23.29333326926824
4613,"Cullen Capital Management, LLC",2013,23.290694871614495
3259,CINCINNATI FINANCIAL CORP,2013,23.276918320218638
7790,HOWARD CAPITAL MANAGEMENT,2013,23.26459497498541
15299,Shelter Mutual Insurance Co,2013,23.217370307809933
11009,Monarch Alternative Capital LP,2013,23.20091016363455
10172,MARSHALL & SULLIVAN INC /WA/,2013,23.173080274076565
17483,WINDWARD CAPITAL MANAGEMENT CO /CA,2013,23.147978313492203
10517,"MONTAG & CALDWELL, LLC",2013,23.1373467024773
8113,"Hillhouse Capital Management, Ltd.",2013,23.13500452976134
511,APPLETON PARTNERS INC/MA,2013,23.127499603695224
14988,SYMONS CAPITAL MANAGEMENT INC,2013,23.100999126283657
15456,Soroban Capital Partners LLC,2013,23.093025884912706
12676,"Palisades Investment Partners, LLC",2013,23.082440635987105
10471,MITCHELL SINKLER & STARR/PA,2013,23.08085835608284
5858,FIDUCIARY ASSET MANAGEMENT CO,2013,23.07892751730751
1200,Arizona State Retirement System,2013,23.039445349556154
361,AMBS INVESTMENT COUNSEL LLC,2013,23.0240045048958
5651,"Ensemble Capital Management, LLC",2013,23.022689290287826
10487,MOGY JOEL R INVESTMENT COUNSEL INC,2013,23.01107841159098
13121,Princeton Portfolio Strategies Group LLC,2013,22.967326218736343
15950,TESUJI PARTNERS LLC,2013,22.886772040674032
10621,MUHLENKAMP & CO INC,2013,22.862594257414678
9513,LODESTAR INVESTMENT COUNSEL LLC/IL,2013,22.8604246017381
8706,JAMISON EATON & WOOD INC /NJ,2013,22.812680004980137
7839,HUDSON VALLEY INVESTMENT ADVISORS INC /ADV,2013,22.81238563584494
15902,TDAM USA INC.,2013,22.79962454410744
13452,"REIK & CO., LLC",2013,22.798951354466983
4457,"Cornerstone Investment Partners, LLC",2013,22.786658911933937
17575,"Wallington Asset Management, LLC",2013,22.742870642102073
13519,RIT CAPITAL PARTNERS PLC,2013,22.714077927206176
17952,Zenit Asset Management AB,2013,22.648049798037814
15054,"Samsung Life Investment (America), Ltd.",2013,22.637271053500825
709,ATWOOD & PALMER INC,2013,22.624785787745797
6253,Family Management Corp,2013,22.619425131027082
12323,PETERSEN FLYNN & DINSMORE INC,2013,22.585280016777098
8172,Holowesko Partners Ltd.,2013,22.573256742851008
12368,PIEDMONT INVESTMENT ADVISORS LLC,2013,22.55158214953206
16301,TWEEDY BROWNE CO LLC//,2013,22.53221718304516
7006,GREENWOOD GEARHART INC,2013,22.52596766125291
