,investor,year,weighted_score
4892,DISCIPLINED GROWTH INVESTORS INC /MN,2013,3.19961939441381
12239,"PDT Partners, LLC",2013,3.150036593473165
17047,"Veritable, L.P.",2013,3.138328737909394
2442,BlackRock Inc.,2013,3.1295771505979926
12096,"PACIFIC ALTERNATIVE ASSET MANAGEMENT COMPANY, LLC",2013,3.1270056087952236
11025,Montecito Bank & Trust,2013,3.123152313592527
6366,"First Allied Advisory Services, Inc.",2013,3.115767628653261
690,ATLANTA CAPITAL MANAGEMENT CO L L C,2013,3.104328349631899
12789,"Passport Capital, LLC",2013,3.0990822215964373
8183,Homrich & Berg,2013,3.0886048144315015
500,APG Asset Management US Inc.,2013,2.9813029202994428
14693,SPINNAKER TRUST,2013,2.9439231066805434
7054,GSA CAPITAL PARTNERS LLP,2013,2.937291611211741
4171,Choate Investment Advisors,2013,2.9198273815202875
13283,QVT Financial LP,2013,2.9066054240057038
1247,Artisan Partners Limited Partnership,2013,2.873192036809045
3028,CARLSON CAPITAL L P,2013,2.8437188753774656
12963,Pine River Capital Management L.P.,2013,2.833791492600184
216,AGF INVESTMENTS INC.,2013,2.8190310246215358
549,"ARGA Investment Management, LP",2013,2.8184020728571357
7542,HARVEST CAPITAL MANAGEMENT INC,2013,2.812411085744489
14280,SECOND CURVE CAPITAL LLC,2013,2.787475956195911
13215,"Proxima Capital Management, LLC",2013,2.7696570622215377
6651,GABELLI FUNDS LLC,2013,2.7343114306682494
16675,"Tygh Capital Management, Inc.",2013,2.643844450847102
8402,INVESTMENT CENTERS OF AMERICA INC,2013,2.628733199638158
16905,VERTEX ONE ASSET MANAGEMENT INC.,2013,2.5928407539960214
852,Airain ltd,2013,2.5161337614769796
17958,"Zimmer Partners, LP",2013,2.4783762360665342
15260,Shamrock Asset Management LLC,2013,2.472730130274388
11846,OPUS INVESTMENT MANAGEMENT INC,2013,2.4716800260494773
14252,"SCOPUS ASSET MANAGEMENT, L.P.",2013,2.459707161975515
2080,BSW Wealth Partners,2013,2.45334124978325
15594,Steinberg Global Asset Management,2013,2.4489679855356963
17901,"York Capital Management Global Advisors, LLC",2013,2.4423663999834893
739,"AVIANCE CAPITAL MANAGEMENT, LLC",2013,2.4229003764594985
12421,"PL Capital Advisors, LLC",2013,2.402348058925771
9976,"Luxor Capital Group, LP",2013,2.3780521025073518
3339,CLINTON GROUP INC,2013,2.335798734302256
12986,"Pinnacle Holdings, LLC",2013,2.326175883223024
2546,Bollard Group LLC,2013,2.3261531487631055
8878,"Jarislowsky, Fraser Ltd",2013,2.3186575211445346
11220,NEW YORK LIFE INVESTMENT MANAGEMENT LLC,2013,2.276652440925344
11011,Monarch Partners Asset Management LLC,2013,2.2317437415629495
8656,J. Goldman & Co LP,2013,2.229709164435453
8190,Hood River Capital Management LLC,2013,2.2252431963672037
6413,"First Heartland Consultants, Inc.",2013,2.1914684093584085
17755,"Wharton Business Group, LLC",2013,2.1864891811787457
3857,"Camelot Portfolios, LLC",2013,2.178098509318327
7186,GeoSphere Capital Management,2013,2.1517638561554193
6297,Filament LLC,2013,2.1431059003592754
9609,LUMINUS MANAGEMENT LLC,2013,2.137001039996445
14592,SNYDER CAPITAL MANAGEMENT L P,2013,2.133264903443472
8854,"Jacobus Wealth Management, Inc.",2013,2.1054414753074364
4267,"Coe Capital Management, LLC",2013,2.097747360254793
16506,"TimesSquare Capital Management, LLC",2013,2.0779617038261984
10573,MOTCO,2013,2.0715060808228065
3279,CITADEL ADVISORS LLC,2013,2.0711591515117442
15027,Sageworth Trust Co,2013,2.063503036154426
6658,GAGNON SECURITIES LLC,2013,2.0575418507026426
7160,"Geller Family Office Services, LLC",2013,2.052162147093068
14303,SECURITY CAPITAL RESEARCH & MANAGEMENT INC,2013,2.0356709002669637
17251,WEDGE CAPITAL MANAGEMENT L L P/NC,2013,2.0349168392870127
15842,TANG CAPITAL MANAGEMENT LLC,2013,2.0201998911424397
6311,Financial Advisory Group,2013,2.019446482829625
5454,EVERGREEN CAPITAL MANAGEMENT LLC,2013,2.011768456505116
8681,"JACOBS ASSET MANAGEMENT, LLC",2013,1.9862655427428644
312,ALPHA WINDWARD LLC,2013,1.9813629744258066
8976,KAYNE ANDERSON RUDNICK INVESTMENT MANAGEMENT LLC,2013,1.9789167956898575
15489,Spark Investment Management LLC,2013,1.9662584436540773
12002,"Opus Capital Group, LLC",2013,1.9513910913993553
16737,"UNITED CAPITAL FINANCIAL ADVISERS, LLC",2013,1.9354890592391019
9969,Lumina Fund Management LLC,2013,1.8956677365022283
8890,Jefferies Group LLC,2013,1.8164988213213988
16164,TOWLE & CO,2013,1.8111513309090008
16037,"TIEDEMANN WEALTH MANAGEMENT, LLC",2013,1.7919810039860038
15040,"Salient Capital Advisors, LLC",2013,1.7725557356501118
5633,"Energy Income Partners, LLC",2013,1.760144892632122
3194,CHICKASAW CAPITAL MANAGEMENT LLC,2013,1.7434178331462746
12415,PITTENGER & ANDERSON INC,2013,1.736943936848403
11737,OAK RIDGE INVESTMENTS LLC,2013,1.7086950862488641
1283,"Asset Management Group, Inc.",2013,1.6972058962695606
7963,Harvest Fund Advisors LLC,2013,1.6511478085507894
15005,SYSTEMATIC FINANCIAL MANAGEMENT LP,2013,1.627536831060716
26,"1st Global Advisors, Inc.",2013,1.60294653733563
2031,BROADVIEW ADVISORS LLC,2013,1.5894353802836239
2039,BROOKFIELD ASSET MANAGEMENT INC.,2013,1.5746886305924628
7324,"Grandeur Peak Global Advisors, LLC",2013,1.5694894137533468
1608,"BBT Capital Management, LLC",2013,1.563525390961657
