,investor,year,weighted_score
12189,PARTHENON LLC,2013,22.444770945299865
2934,CAPITAL COUNSEL LLC/NY,2013,22.408403503843026
152,ADELL HARRIMAN & CARPENTER INC,2013,22.36994754069222
3097,CEDAR ROCK CAPITAL LTD,2013,22.36593241030203
2002,"BRIGHT ROCK CAPITAL MANAGEMENT, LLC",2013,22.28655682926313
14351,SEMPER AUGUSTUS INVESTMENTS GROUP LLC,2013,22.26935118643168
12045,Osher Van de Voorde Investment Management,2013,22.24213880475819
7394,Grisanti Capital Management LLC,2013,22.1941179063145
3996,Carmignac Gestion,2013,22.11253318715819
8642,"Ironwood Investment Counsel, LLC",2013,22.108552006508212
17445,WILKINS INVESTMENT COUNSEL INC,2013,22.075819676286766
3711,CULBERTSON A N & CO INC,2013,22.02275162163796
15528,"St. James Investment Company, LLC",2013,22.020287624084585
2245,"Barrett Asset Management, LLC",2013,22.017948866598303
9381,LAU ASSOCIATES LLC,2013,21.990567198381868
10799,"Mathes Company, Inc.",2013,21.978651065351865
15541,"Stack Financial Management, Inc",2013,21.926524468744514
1838,BONNESS ENTERPRISES INC,2013,21.90542211625451
7612,HENDLEY & CO INC,2013,21.83927761842607
2278,Bath Savings Trust Co,2013,21.79829994793075
3761,CYPRESS CAPITAL MANAGEMENT LLC,2013,21.739777271326915
6747,GENERATION INVESTMENT MANAGEMENT LLP,2013,21.73879705452019
9029,KENSICO CAPITAL MANAGEMENT CORP,2013,21.711828284041722
1335,Aull & Monroe Investment Management Corp,2013,21.651586417869687
10126,MARCO INVESTMENT MANAGEMENT LLC,2013,21.641224652823162
6381,"First City Capital Management, Inc.",2013,21.49743680267622
15654,"Stillwater Capital Advisors, LLC",2013,21.496212177480775
12852,"Penobscot Investment Management Company, Inc.",2013,21.486722227481078
4595,Crystal Rock Capital Management,2013,21.38591718514342
9209,"Kessler Investment Group, LLC",2013,21.33046288982526
10725,"Maple Capital Management, Inc.",2013,21.308551289294055
17526,WOODSTOCK CORP,2013,21.201016267771962
