name,scores.comm.overall,scores.cust.overall,scores.env.overall,scores.jobs.overall,scores.mgmt.overall,scores.prod.overall,scores.worker.overall,scores.comm.abuse,scores.comm.charity,scores.comm.conflict,scores.comm.local,scores.comm.oppress,scores.comm.rels,scores.cust.disc,scores.cust.exp,scores.cust.fair,scores.cust.label,scores.cust.priv,scores.cust.truth,scores.env.efficient,scores.env.mgmt,scores.env.pollution,scores.jobs.growth,scores.jobs.size,scores.mgmt.integrity,scores.mgmt.laws,scores.mgmt.profit,scores.mgmt.reporting,scores.mgmt.return,scores.mgmt.tax,scores.prod.ben,scores.prod.price,scores.prod.qual,scores.worker.balance,scores.worker.career,scores.worker.ceo,scores.worker.fairpay,scores.worker.health,scores.worker.hiredisc,scores.worker.layoff,scores.worker.living,scores.worker.open,scores.worker.paydisc,scores.worker.pto,scores.worker.retire,scores.worker.safe,total
Computer Services,55.694371901775995,56.42348928729384,57.12572015582712,52.852211073013855,52.80016374066145,53.732844516576996,54.527034529719394,60.51100769388263,43.45128151018333,75.92699747342675,39.894218358543725,51.11178068789212,53.72273939861833,51.611377043117045,61.52764996919551,51.69518700313598,51.700614940387666,66.5261818781836,51.51315431583617,56.230002591273674,54.5113520440058,59.852774073266474,54.19565171865009,50.714405779436625,58.76047595068075,56.20117163449648,58.41971450007798,42.897771913059636,53.57743571549704,48.993198356595876,51.16109424925664,53.486610668012894,56.261842390719735,57.65407554028656,50.138082306438385,67.41732250241628,48.18549311440148,50.23256501910486,47.62658141925322,51.447790398398276,67.52584582589276,55.20416536306698,51.4625936770615,43.91810119273762,50.35851338603913,60.22499246927314,15
Consumer & Diversified Finance,50.263455350074615,46.79222793325533,53.625532518495916,48.78458923389602,50.32628792293803,48.747342362342735,51.71771937641804,41.912345170314495,49.22848293860209,63.05001445171921,43.488290700384226,48.90571175759668,60.69331632258828,47.780808190961196,31.16141008260009,41.19912678217512,47.865584193368285,53.610238482554514,51.51315431583617,52.66420127640226,48.412643855111156,58.37527813181467,50.39325285490362,46.224736950324164,58.86630426464416,38.369656839749894,55.46584980689854,47.56787128101695,48.24672537543483,58.387477329426915,43.24273508922286,44.98532595685628,56.261842390719735,62.65674993723548,43.30307460874161,60.01762372676486,50.3615381917427,47.170430219308386,50.498727839990934,51.447790398398276,52.43617484471247,42.02415037012055,52.55953893485762,56.762822431464684,57.612941987305426,50.58206925796034,20
Energy Equipment & Services,43.9688334616705,50.59734629908426,41.78217009723609,40.69303222569403,44.12397925149905,50.00229302020916,49.650246650093415,38.39860925891066,45.29596337487072,40.67334498893285,60.43177459763229,49.50843666964907,33.81455844054945,51.611377043117045,61.27524813116849,51.69518700313598,51.700614940387666,42.459206606825056,51.51315431583617,48.28971414233857,42.210206169129656,36.03028917596028,38.00531170567048,44.96997827018516,52.811565949400816,48.7469545421209,15.775867403680259,49.87161322644606,25.29013256290265,40.078294960001564,44.373929255243624,48.34769356102072,56.261842390719735,36.510981726069694,54.37783843981353,60.848809501340604,44.491193494810226,48.63570463776069,42.59530487845113,51.447790398398276,66.71750968318416,48.34581644112314,42.68703161469253,39.02321623178625,56.03680214683475,49.51553373381919,14
Food & Drug Retailers,54.37162400808861,50.02059703305006,55.17875944840972,59.60030716794939,56.31470936408547,46.5232064817177,37.664223995409394,50.51265586861546,57.20796353026856,43.39764210754346,75.83494177694871,51.483665454046836,55.081946688805694,51.611377043117045,41.1024444902584,51.69518700313598,51.004403952387726,50.80242470089602,51.238579023050114,57.594173967819884,49.82999828062287,57.21498295048908,48.30061311076722,77.5814110222302,53.95672869092305,55.971288888097945,55.69446654840518,50.11261936180038,52.07381168090744,65.81908263862431,50.3273234333209,52.71368871734117,38.99766343531814,30.421390772110207,45.88113682755904,33.39784090268639,44.67528540821102,31.271597497980515,57.38521237035375,51.447790398398276,15.276222725480881,29.265063911584846,49.268703161469254,44.099569222416164,23.736063117894776,36.15561394206931,10
"Food, Beverage & Tobacco",53.78196151289628,49.78091871587414,41.52858593508625,46.7967137862469,49.586368839059666,47.103073513642606,48.64910469814299,67.71649371240292,56.34414751729498,41.29478321805462,52.5791795650396,49.93815781919132,46.924756547303396,51.611377043117045,55.50102492458268,51.69518700313598,46.041803607450866,46.04565782373339,49.262767424193925,57.26361897493897,47.779122683599866,23.670766274377392,45.836007033459566,48.32547799950434,40.36151720485996,50.164545340414115,55.500459911,50.01338154136036,55.986868101397135,53.6140156604639,52.25798401673853,53.486610668012894,38.20779903866578,42.24732051048486,49.38436167231571,41.6666462512197,53.60573381374968,49.09233989652774,52.626233375370134,51.447790398398276,42.710862601087314,60.936483939092795,54.3017461090044,47.47740896067114,40.00134832640724,44.91025567508798,34
Health Care Equipment & Services,50.61229139241562,49.984102788996225,55.889010193550575,47.35047818925071,50.64873691877145,43.518193017435664,53.66040972652609,51.038502128599546,50.98356635372943,49.63572024258086,47.88104578485594,51.483665454046836,51.94301763079621,51.611377043117045,46.285956859942665,51.69518700313598,49.431904225310475,48.639368157988734,51.50318999880348,55.77249067873337,53.08100288481321,58.11281351316712,49.02665991635188,44.683184936784556,50.88728319211122,52.3880124123275,53.221774600343736,51.54330236541257,60.65246227290058,43.78653840984312,46.579720058871985,50.69924736751398,36.03324587173507,50.90380201470143,46.749182989114495,60.70803521416497,53.12354383181789,54.615708255029475,55.22247657669318,51.447790398398276,63.534104117598176,48.96049600517804,42.68703161469253,53.038073267978184,56.59610124492787,52.1662338261806,27
Health Care Providers,44.18353722317736,49.05643818546471,53.53773393002069,57.81770817800137,57.01248077843061,52.8045828435398,43.45066807776296,37.23286790118093,46.977001445001214,28.61157148668741,51.87445949801205,51.483665454046836,53.426119103981314,51.611377043117045,28.30565664597536,51.69518700313598,51.700614940387666,52.79909227896429,51.51315431583617,52.38250200143478,47.1296506700761,59.354374871847234,53.40853697824947,64.83398356146192,63.785541418592956,48.73222733031481,46.366447979926484,55.63096809001883,52.482698450599464,67.28469155287233,48.570564866013065,53.486610668012894,56.261842390719735,35.0110175110436,45.12270213906533,44.053385018048246,40.612550634346775,25.83474176359852,53.70107012306617,51.447790398398276,49.03304486669853,30.0056119860762,47.259974302765166,49.07186567495144,30.990834725767485,51.05921072372025,18
Household Goods & Apparel,49.59808061648816,51.78109396167998,51.03652442755296,50.57630957040169,50.09267582844222,46.785111640895174,46.22131373447701,53.58139193073117,45.999247165209916,51.87767676741123,47.46068644662898,51.256401836089424,41.782516639179924,51.611377043117045,55.57264393671732,51.69518700313598,51.700614940387666,50.270417879108095,51.51315431583617,52.93094520658642,42.537293840523596,55.89326938998811,53.93026903222416,45.23918335256879,41.65278681161489,52.764828736159394,60.16148553367552,51.27437698879373,53.31762213667357,49.361882949147315,51.383527996003416,49.35573642232801,40.87929112399077,46.80664220872876,50.872628815903155,37.6964989664194,47.598360993061085,54.36946623741879,50.27614837246188,51.447790398398276,31.91303686614651,48.936354688018056,47.883088098989944,46.643986394121725,33.9385561550267,52.28861265928604,38
Industrial Goods,52.73258138353977,51.31817715948315,56.346025565264135,46.81788916853365,50.363558264600066,51.13160432712267,51.219425401866104,58.60364524793363,45.11572520356515,61.80224477907313,47.88104578485594,51.07567836873479,43.819506818076114,51.611377043117045,54.17943498821688,51.69518700313598,51.700614940387666,49.05534057008629,51.51315431583617,55.85128810613674,56.08117787096457,56.959248503795585,46.35007411392859,47.56231915388381,49.38056996798649,52.00711181825324,55.67170589222535,48.79259503622515,45.00801678968029,50.09915023702213,50.41638081293107,52.16509387760949,51.11911217372429,47.83529357722319,51.75143149836731,59.75914054994859,42.101367931390605,46.0675084478496,49.15817017293389,51.447790398398276,63.73878399265705,48.29337717781916,42.68703161469253,46.162881896028054,55.11019184355818,59.855660710771325,36
Insurance,42.69015135698968,51.45454898284542,53.10574544205643,47.48934728396829,48.88959918545094,52.50912380054661,51.97445793682981,35.93727804135897,47.288961855100574,32.35488050462564,43.161556851125994,51.483665454046836,50.05543393765155,51.611377043117045,49.03836084443456,51.69518700313598,51.700614940387666,52.23185717155853,51.51315431583617,49.48170042335809,47.988735562012614,60.00375328392173,47.43320294633626,47.5786892750596,45.68564896848358,56.52694156455618,55.63233732988584,53.79844608797295,57.97002362050428,33.079577163137884,48.21928445557139,53.486610668012894,55.82587827568434,57.697621988578966,47.71458167272061,53.98197983936487,51.70871778926281,48.500751653258995,52.34260526102786,51.39088022699501,55.656895133185735,45.00461022219967,51.66203826938806,52.71216836603186,58.41498391181961,49.68796456337998,44
Internet,56.385662935975816,47.53379016383646,53.21574626023889,57.12683711429724,47.6675931110074,55.53217106527418,64.91602386263034,47.37367469712654,38.69654558999226,93.74514839881277,48.87939921314497,51.483665454046836,57.133872786944046,51.611377043117045,28.304265627867046,51.69518700313598,51.700614940387666,46.66196779843516,51.18552867616363,48.10165675961166,50.3367766659662,59.66158813064296,64.71622277131883,45.049914411920554,33.708712192463295,55.65511529717697,60.00590235569973,55.63096809001883,36.573814614402366,42.64658181907122,57.09986361901803,52.18574257745955,56.261842390719735,76.58785992943113,57.62740874975741,71.21376076691959,62.132581968252744,85.5975668364561,41.0193131453925,51.447790398398276,67.94945178976019,65.46974907844726,85.8845103967396,67.84625371835278,61.142707929856975,46.10079633097294,8
Media,48.52892395989456,51.845093018785796,52.33038802433972,48.51870386930408,50.39210107247204,51.29768612748061,47.81099007896905,41.99513543960607,41.562098257648785,62.15162028741405,47.33023010028269,51.483665454046836,46.84182885769414,49.51326206391985,39.90893921039699,51.69518700313598,51.700614940387666,60.65911402423113,51.51315431583617,48.638818103847356,46.68857779001199,59.682168716758156,47.911490304973576,49.484957478180775,42.50628152570987,54.1429306790592,49.299654520553275,51.8252103464199,57.83445757588776,50.438896259134864,50.85770884142491,47.33445227379266,54.27745400504139,57.589294032752086,46.69794627348008,32.411996035233656,49.34926320419209,56.11182917049019,46.49670920211832,51.447790398398276,42.82167329390625,49.18591029501665,42.68703161469253,47.244536244443204,54.516159947998105,50.83966199951893,29
Oil & Gas,49.849064389639594,49.99971981914602,44.22075846629701,49.99445853244614,49.10782769812833,50.7378351221207,59.48109503413525,43.52753436069759,56.334819242023926,44.33346936202802,61.13191856032849,49.74540033009123,53.1474967630109,49.8702093830462,60.79618076046609,51.69518700313598,51.700614940387666,42.0216252382549,51.51315431583617,47.86122084608225,44.38150254372732,41.06263983314596,54.30894733119737,43.12885042165244,63.110815196156665,46.03768520235396,4.0966730035366705,52.544275922468756,17.687452376287013,61.16612258676977,42.80282624704142,53.486610668012894,56.261842390719735,61.32189359885206,55.90504360219649,57.99107871536529,69.0471967745954,66.14339928251549,50.81209692080411,51.447790398398276,65.23029599065546,66.62788512498415,42.68703161469253,50.40881655916865,75.9985951429367,58.98352580621524,44
Personal Products,54.58365014720185,51.898448786829306,57.12580248435038,45.09082021530264,52.98466424283023,50.98581724141837,54.544003316064845,71.94038724134454,44.70330323332646,46.87891949422602,39.894218358543725,51.483665454046836,54.182067375369215,51.611377043117045,46.63617468782858,51.69518700313598,51.700614940387666,55.29492675154962,51.51315431583617,65.63612282388256,55.429175933830535,51.31257057953445,44.66365063759558,45.77057141044742,45.81188346863155,55.54566962159544,64.62876848362927,50.61428742800206,66.22236281195096,50.98522965570395,52.96020865199544,53.486610668012894,47.54256009001186,64.76159321459443,51.7226770554667,41.65456471359354,51.78766634427408,54.93123469421459,53.94578772893582,51.447790398398276,50.352427991408895,61.70048419769172,66.62038269388063,41.03683437078778,58.46549989471841,58.097730140480856,11
Pharmaceuticals & Biotech,51.39252184782215,48.095420510308614,54.59561407916974,53.706408820814616,45.84717589242507,48.09875934385103,55.172676135740275,49.89184557586659,56.89796783015866,54.98750272077531,48.45153345816396,51.483665454046836,50.3717186511599,51.611377043117045,41.096632201244724,51.69518700313598,44.77333071381584,46.73777998839991,49.6914125464115,54.01306065126238,51.17566308548797,57.67156968536555,59.6858762507982,44.19133484556078,50.2648568498173,53.83029721949956,45.423451346069356,47.243828117770605,43.931926987353,30.76703708883026,48.727036106590646,48.166234131149054,47.47617195467022,52.403321959160536,44.446896420206485,53.70403849802684,60.18689135009658,54.09860145038942,49.633640698084704,51.447790398398276,65.90608914175444,50.376577866477774,45.82116092268144,59.6093303400419,70.04197706425796,53.47700757283519,42
Real Estate,44.19126309645698,51.22490176146077,51.34458365027197,48.35235265183399,46.79996864187111,51.40474004755367,48.96347611667785,34.48084882260263,44.76186158391381,50.772102227095075,45.423560422913724,51.483665454046836,43.27943436351522,51.611377043117045,57.29244158101237,51.69518700313598,51.700614940387666,47.08747108208632,51.51315431583617,47.17139831132823,48.426265023628815,57.03545135094329,51.4736783506753,43.385414496705096,47.216956157631515,48.72846684347302,49.026655948470946,53.50852627147327,55.94090523277201,34.82009740839924,44.66397903977852,53.486610668012894,56.261842390719735,42.939093209412334,37.110798959824436,56.80418825151902,51.88598302547831,49.352324543868264,45.99103413906301,51.447790398398276,53.79878727445116,52.18344276539172,51.550210546938,49.30871486174208,36.89720954451244,44.787927733408594,26
Restaurants & Leisure,46.32007206256609,50.241596207401116,53.28674339897351,52.13254877438589,49.13480317780851,46.28149271806622,39.106292989808416,41.5391171653478,55.513180011943426,33.35309624274251,60.11087528139653,49.86861411346986,45.73810080479702,51.611377043117045,43.453234564104285,51.69518700313598,51.700614940387666,50.030275910939935,51.51315431583617,48.8380302934086,55.83527333566429,55.06715153184194,50.4189979335125,54.859307169207256,43.42248100469821,49.20911806995263,52.00100503611489,55.63096809001883,55.139450010172006,46.30971367532282,36.37679139895206,53.486610668012894,50.72515652514141,45.313932209425545,49.99431442507452,18.4911027844014,40.95374985394778,51.59762927151969,47.00350634871807,46.194195784914875,2.871574769957677,53.27916487729314,51.9451368555097,49.4383440319282,16.794627842358654,47.94310892685352,32
Retail,51.9045215515317,52.00472322982988,52.78277137615989,57.13927960118764,54.69961775231313,44.363528236509566,32.293511837985236,57.36273060855631,46.93245084110778,57.74699334297336,46.14477895304894,49.96364521039739,46.851503757274024,51.611377043117045,56.50113381872086,51.69518700313598,51.4916413130773,50.84020093579949,51.49522092731228,51.10743079231032,47.228665902384364,58.38646427822415,50.13117017212535,68.29122255012426,44.52461282627227,55.65634708404832,55.667737219481516,53.231686034271675,54.34456538098904,64.43164688741672,45.73456914111469,53.29406771866516,37.29938012856624,34.61663951169735,46.54776806207529,25.263889381621382,29.977755278075996,35.6200122572756,44.90072835214313,51.35351200146807,-4.895362336445171,33.927680579909,50.5582508141255,40.429354295277,5.4184240309224405,42.78789258647083,46
Semiconductors & Equipment,64.00927328906033,52.7070133815821,63.035821773411314,44.871297887924335,50.161414547892164,58.95633237402957,59.21863566671834,84.80357438462644,52.989643164563994,69.9181727368059,49.27005925030155,51.483665454046836,57.61749283254789,51.611377043117045,57.097054444197695,51.69518700313598,51.700614940387666,53.34166499039588,51.51315431583617,62.21460303165863,71.90438281052366,57.00424802492249,45.38989976337809,44.046051280859636,51.151928564370394,56.57750659211911,41.04614245333613,49.72599176948825,55.84195678342377,43.14120552355105,70.44057741866678,49.38635738325453,54.593805776671275,55.16627479110709,64.39509200451174,68.09089445504569,46.53325355053971,59.660725697520554,53.302313348074925,51.447790398398276,68.89504092437414,64.73395928130014,52.70627736418741,59.38358446497164,68.21256530495651,64.77020710920146,23
Software,50.778701660656,56.57522063806346,55.39904234342401,51.52968569324646,47.16670751696802,53.23637656226551,62.467742127032956,48.85166562446122,53.38782968155442,49.77618270327761,46.85048740726727,51.377953484683076,56.631531965381356,51.611377043117045,56.244604166821865,51.69518700313598,51.700614940387666,71.23606306032043,49.04498804758339,55.18028717100094,49.61264066188097,59.9637764006177,55.811771894743515,44.715639550717356,43.3892058556661,51.98813708782405,45.04749092461474,53.029969119373064,48.12694817272684,40.09232054144224,55.36151416204555,48.42295836685077,54.40547906218193,72.11468706271638,62.46025180072577,66.71021789282977,58.49252574632698,68.69224416645368,52.83383292605037,51.447790398398276,70.91735982141994,63.361749587303606,63.9236590624366,65.18740842959065,64.26722829726506,54.01311430724038,31
Technology Hardware,57.549039626380974,51.44569686059605,60.311777424439406,45.64180075469423,51.80590750097281,59.08142451358295,57.29316686906257,80.72190933765016,49.45409319862414,54.99053241401417,39.894218358543725,45.897866478851995,55.42972949164447,51.611377043117045,53.281970236621355,51.69518700313598,51.700614940387666,50.04056479764576,51.51315431583617,55.22882059101845,69.17385699378524,57.83967698110037,44.5409370195334,47.39359554233777,42.623873625874374,55.02667265090869,59.601011779587964,55.63096809001883,53.40487307166656,50.060146998719794,77.93161625741459,47.76433252597632,49.06843449263574,62.275445966383714,50.48278003556943,64.88584090930891,48.07981625644083,51.67977456643377,51.791375298345265,51.447790398398276,66.76128872037592,65.78113797752404,52.97615266285597,60.565489642438905,60.28177017967084,63.13668245325393,16
Telecommunications,49.06989486237656,50.89982547681469,57.936345201713465,51.179232421563924,49.263236182270816,62.426306898661004,50.76450714266341,53.82729561794901,49.552243540117296,36.84685132615154,39.894218358543725,51.483665454046836,57.64369342593337,47.877734193988175,6.218389039050754,50.94434715485063,51.700614940387666,76.37751303989077,50.7528445729041,57.91116823378885,56.075377715280155,59.36673103768487,42.019983611416286,65.75426456394148,37.93277395184134,55.34022376874202,39.46725100154733,48.73303217974576,32.222794558935455,61.14757807629808,77.99553362143672,49.837388658366166,56.261842390719735,54.59199025821738,52.317712099762026,41.016783931707494,59.5614592755058,49.42077895629665,53.67440927401535,51.447790398398276,35.500976661195075,50.71736352873907,59.141210481634346,63.27580903504687,38.27672965863201,51.52526911427791,8
Transportation,47.739873253699045,51.30399306539049,52.18003291284234,52.092080472168035,56.06898093358767,51.15467787821399,47.953423566650535,46.91568507352549,52.42972462546198,40.09105247503134,48.519991978960924,51.483665454046836,48.6776368935129,51.611377043117045,53.12535367026122,51.560139186546785,51.09332930304401,49.9039242907653,51.51315431583617,56.29657077687403,52.984021943423436,48.13768094692123,48.67767606966628,57.525392192928706,51.59865097266371,55.91883852057814,59.23089614256568,55.63096809001883,44.39001244495464,62.99996606708881,46.179974793818786,50.34714624129238,56.261842390719735,34.84573198480499,54.6993221756787,51.73859797035678,53.52610563309713,48.01609441326595,51.06852334067004,48.38987878246235,51.9127701876627,47.06227670165404,48.61221896881552,37.905224102406414,41.391384364051234,41.87486482353496,25
Utilities,50.652479771088544,50.199135388432865,17.44960283376619,44.490744539353294,56.78918407826474,54.13465697233779,52.03507607217284,40.11555838746952,52.804608250523756,49.948432888935365,63.25568858050696,51.483665454046836,56.14626004807147,49.69609261703912,44.31877195910301,51.69518700313598,50.618524302834835,51.92555021355942,51.51315431583617,8.833745753240171,45.48083220979227,3.4065898106415786,43.97889852733243,45.305240600306085,69.06606036874098,53.04754684815432,51.33084972645299,51.599419685517894,46.08246663683944,58.96791422761074,55.95610063185136,50.49175873490593,54.82316081110294,57.13334133287284,62.203141260610586,43.727186535807945,59.96389346188306,55.68560728585797,53.67019940484025,51.447790398398276,41.97517390774222,50.85897165426766,46.3902737110194,55.472015659970666,63.30408851631487,49.15979047033161,40
