ticker,name,industry,rank.overall,rank.industry,scores.overall,scores.comm.overall,scores.cust.overall,scores.env.overall,scores.jobs.overall,scores.mgmt.overall,scores.prod.overall,scores.worker.overall,scores.comm.abuse,scores.comm.charity,scores.comm.conflict,scores.comm.local,scores.comm.oppress,scores.comm.rels,scores.cust.disc,scores.cust.exp,scores.cust.fair,scores.cust.label,scores.cust.priv,scores.cust.truth,scores.env.efficient,scores.env.mgmt,scores.env.pollution,scores.jobs.growth,scores.jobs.size,scores.mgmt.integrity,scores.mgmt.laws,scores.mgmt.profit,scores.mgmt.reporting,scores.mgmt.return,scores.mgmt.tax,scores.prod.ben,scores.prod.price,scores.prod.qual,scores.worker.balance,scores.worker.career,scores.worker.ceo,scores.worker.fairpay,scores.worker.health,scores.worker.hiredisc,scores.worker.layoff,scores.worker.living,scores.worker.open,scores.worker.paydisc,scores.worker.pto,scores.worker.retire,scores.worker.safe
Y,Alleghany,Insurance,346,18,51.211073801287,40.76948978967726,53.97589205755604,50.68532729396348,62.66612595473564,54.68346353971732,49.949674754887,49.19240870292037,40.5276435385246,37.73671329014145,32.35488050462564,39.894218358543725,51.483665454046836,37.112002898945256,51.611377043117045,63.62872472898801,51.69518700313598,51.700614940387666,55.29492675154962,51.51315431583617,47.05574465508481,41.72881409108838,60.49576641716939,75.18903295711688,42.73853409005198,52.187081607723755,56.95680615174859,66.29199233510758,55.63096809001883,43.167029263703206,52.268351935515135,40.603282035174416,53.486610668012894,56.261842390719735,44.409938325607435,24.27858874616227,55.01998605915277,51.92110660997706,48.50075165325899,53.94578772893582,51.447790398398276,52.296694832219536,44.658957000366925,42.68703161469253,22.81321074752207,83.6185590107277,52.437032627395496
OKE,ONEOK,Utilities,347,8,51.2035548633152,50.13705225462649,53.80075393109693,45.32270156281416,48.69981133390575,59.65916365357873,49.949674754887,52.664112583170855,32.36198056799161,83.8393472314092,49.948432888935365,39.894218358543725,51.483665454046836,72.70643825538755,51.611377043117045,62.19617375640222,51.69518700313598,51.700614940387666,55.29492675154962,51.51315431583617,47.03610323775838,63.273914600575154,30.298427795308992,52.689817311251346,42.35054988534014,64.43196475504574,56.95643738291399,58.418953422514534,55.63096809001883,38.49838284851444,68.10429090232189,40.603282035174416,53.486610668012894,56.261842390719735,59.67908776174795,70.34172485729485,31.64302008958376,51.376356794773194,73.74400078035481,53.94578772893582,51.447790398398276,26.72535920851448,67.45013090523231,42.68703161469253,78.06378245417075,61.51029281051494,53.87633969465318
AGN,Allergan,Pharmaceuticals & Biotech,348,24,51.1959632712472,57.216979404028514,45.21898573460033,71.57193478509605,46.31534703642521,25.458687226606287,38.17882720721598,60.27892963462354,67.62789944605322,96.55485028348852,54.98750272077531,39.894218358543725,51.483665454046836,46.01061173805583,51.611377043117045,-7.998823900301879,51.69518700313598,51.700614940387666,55.29492675154962,51.51315431583617,99.54122410839156,57.92927493716562,58.57588535677013,45.99477166112103,46.825475814009735,56.025845314021026,48.91901154053494,38.1508369906046,0.4474808078342747,54.21152247886704,-25,49.40145888552185,53.486610668012894,17.897000267605087,40.541460810975906,45.46321892011703,64.21594652433832,44.06460139224607,60.46932112223999,53.94578772893582,51.447790398398276,71.82389658123066,86.93979151274992,42.68703161469253,104.15277870941131,84.29038297500347,60.88534768929223
JKHY,Jack Henry & Associates,Commercial Support Services,349,11,51.1917443935599,42.306930604457214,56.680358539433875,50.45703560018984,47.279639337465056,42.471569463979726,49.949674754887,56.3668218784724,32.36198056799161,37.73671329014145,56.85653953113048,39.894218358543725,51.483665454046836,37.112002898945256,51.611377043117045,63.62872472898801,51.69518700313598,51.700614940387666,66.52618187818359,51.51315431583617,47.051536121027084,41.72881409108838,59.90768028983588,49.558886231311405,43.65269378474463,46.77876888863986,56.57796090781155,65.28969262584519,-25,74.86755432381882,61.91981692138554,40.603282035174416,53.486610668012894,56.261842390719735,52.247775417606825,29.717474251835128,78.76477238078228,65.54795086233183,61.45506466120892,53.94578772893582,51.447790398398276,71.82389658123066,51.47281311625452,42.68703161469253,50.438496600846406,55.94072128093637,43.98871756549876
HFC,HollyFrontier,Oil & Gas,350,22,51.187326346043,41.95289468025946,53.97589205755604,46.86576067420828,45.129410298454246,60.83005983502104,49.949674754887,56.64926745709952,32.36198056799161,40.25600775748348,53.31741100507979,39.894218358543725,51.483665454046836,37.112002898945256,51.611377043117045,63.62872472898801,51.69518700313598,51.700614940387666,55.29492675154962,51.51315431583617,46.852607383447605,46.87480961524584,46.86987823531203,46.8069824305458,42.45990450674541,75.78135801327852,56.950773502590046,37.97432263369883,55.63096809001883,56.62515967447636,65.14984525416806,40.603282035174416,53.486610668012894,56.261842390719735,47.693100109907434,52.13001593723788,58.457945887992025,61.26535276324361,84.9814771246005,53.94578772893582,51.447790398398276,65.5472960190485,60.244673863144286,42.68703161469253,22.81321074752207,83.01326264369402,39.8337376922603
ALNY,Alnylam Pharmaceuticals,Pharmaceuticals & Biotech,351,25,51.1494326673629,42.02199780530406,53.97589205755604,49.04032314517387,44.30748391355239,41.45712826042065,49.949674754887,60.91007053631664,32.36198056799161,37.73671329014145,54.98750272077531,39.894218358543725,51.483665454046836,37.112002898945256,51.611377043117045,63.62872472898801,51.69518700313598,51.700614940387666,55.29492675154962,51.51315431583617,45.4531660297856,41.72881409108838,57.56954787245063,45.99477166112103,41.622517748313314,33.821537652338925,56.95680615174859,2.011074035849404,55.63096809001883,91.51783184693666,17.597566669748076,40.603282035174416,53.486610668012894,56.261842390719735,47.61319352556182,57.02256661700356,54.0273470839211,66.34512483275607,89.71304611165132,53.94578772893582,51.447790398398276,61.54066428763377,83.02465917011828,42.68703161469253,78.06378245417075,69.40784516833126,43.98871756549876
PDCO,Patterson,Health Care Equipment & Services,352,11,51.1420128697942,58.085424259419746,53.97589205755604,51.711182759018406,45.6989520166195,57.85304319976971,49.949674754887,46.61312772546191,40.5276435385246,81.915764800802,49.657286631984626,111.7756651953537,51.483665454046836,46.01061173805583,51.611377043117045,63.62872472898801,51.69518700313598,51.700614940387666,55.29492675154962,51.51315431583617,47.03335100851836,47.129888647874466,59.082397334353,46.79282124806361,43.958287521274414,54.52532272554836,56.95680615174859,48.035869971775845,55.63096809001883,64.54962903002861,65.94695678228497,40.603282035174416,53.486610668012894,56.261842390719735,48.29239949249945,61.86130367903434,54.0273470839211,40.62068821541476,40.62301787099902,53.94578772893582,51.447790398398276,61.54066428763377,40.95553109829992,42.68703161469253,47.388897667992005,6.5983722706775865,43.98871756549876
TWX,Time Warner,Media,353,14,51.1254152878123,52.172756120678784,35.516854420562645,53.53387910616823,46.87892782669139,54.096005183879186,65.08235379862045,52.676810750584316,40.5276435385246,37.73671329014145,62.15162028741405,39.894218358543725,51.483665454046836,81.60504709449813,51.611377043117045,-20.993934840875937,51.69518700313598,51.700614940387666,21.601161371647642,51.51315431583617,51.83208907834253,47.129888647874466,59.80328513243554,45.31640966473781,49.365349246785456,48.612326663261904,56.95680615174859,54.98087216519372,55.63096809001883,101.87803096519019,41.2825542479529,82.83453088305706,53.486610668012894,56.261842390719735,98.66084228171138,70.52810774033355,6.965303952618299,50.025344408943795,74.72974431932374,42.055580414782575,51.447790398398276,38.34869358292587,47.93721618255914,42.68703161469253,68.33226295179966,65.50943273781246,60.88534768929223
MGM,MGM Resorts International,Restaurants & Leisure,354,7,51.1242167945601,46.708412221968075,53.80075393109693,64.65686963687985,57.71194750585153,45.99073107033906,53.102316224853574,40.31059715014709,36.04817486093475,95.43030570835947,33.35309624274251,39.894218358543725,51.483665454046836,54.90922057716641,51.611377043117045,62.19617375640222,51.69518700313598,51.700614940387666,55.29492675154962,51.51315431583617,74.42937098159037,63.333112318232715,57.508508226040014,51.68763462632979,67.29838365086472,43.64016889675475,56.95680615174859,40.4804361369837,55.63096809001883,30.11522896316943,32.12854825835586,49.40145888552185,53.486610668012894,56.261842390719735,59.73268837966161,84.36703680595645,-12.915006562821084,67.60835328067381,61.45506466120892,53.94578772893582,51.447790398398276,-6.284910414813858,47.31065470063845,42.68703161469253,42.87170122396322,10.57387643561713,38.77912547662096
LOW,Lowe's,Retail,355,9,51.1224230010403,65.23937182628636,54.87126515432104,51.245838310827246,77.56846354445652,67.58078898625371,27.564441228430596,42.67991976649315,78.96754446556646,43.33694029706364,68.29064707683274,39.894218358543725,51.483665454046836,90.50365593360871,51.611377043117045,70.95247328408794,51.69518700313598,51.700614940387666,55.29492675154962,51.51315431583617,51.209890452222645,41.72763261520296,58.48434673693761,47.761514262968134,125,83.2588666030936,56.95680615174859,64.48998796755035,55.63096809001883,91.78900409947354,70.88292624001693,40.603282035174416,53.486610668012894,-1.2854207939522553,73.76994125805588,72.29874512920114,16.856855635246013,71.91638719473467,56.06633331484546,49.877210677873755,51.447790398398276,-25,38.98633786940631,42.68703161469253,48.84763953637041,10.51651602697136,68.0426521633124
